iter	Passed	Remaining
405	6391	9351
406	6403	9329
407	6413	9305
408	6424	9283
409	6437	9263
410	6449	9242
411	6462	9223
412	6474	9202
413	6486	9181
414	6498	9160
415	6511	9141
416	6526	9123
417	6544	9111
418	6557	9093
419	6571	9074
420	6583	9054
421	6599	9039
422	6615	9023
423	6631	9009
424	6646	8991
425	6659	8973
426	6675	8957
427	6690	8941
428	6707	8928
429	6724	8914
430	6738	8895
431	6751	8877
432	6764	8858
433	6777	8838
434	6791	8820
435	6804	8802
436	6818	8784
437	6830	8764
438	6842	8744
439	6856	8725
440	6868	8706
441	6881	8688
442	6895	8670
443	6909	8652
444	6923	8635
445	6937	8617
446	6951	8599
447	6966	8583
448	6979	8565
449	6994	8548
450	7008	8531
451	7021	8513
452	7035	8495
453	7050	8478
454	7063	8461
455	7077	8443
456	7091	8425
457	7104	8407
458	7118	8389
459	7132	8372
460	7146	8355
461	7160	8338
462	7174	8321
463	7188	8303
464	7202	8286
465	7215	8268
466	7229	8250
467	7243	8234
468	7257	8217
469	7272	8200
470	7285	8182
471	7300	8166
472	7313	8148
473	7327	8131
474	7341	8114
475	7355	8097
476	7369	8080
477	7384	8063
478	7398	8046
479	7411	8029
480	7426	8012
481	7440	7996
482	7453	7978
483	7470	7964
484	7485	7948
485	7505	7937
486	7527	7929
487	7550	7921
488	7572	7912
489	7597	7907
490	7618	7898
491	7639	7887
492	7662	7880
493	7682	7869
494	7704	7859
495	7725	7849
496	7747	7841
497	7769	7831
498	7792	7824
499	7811	7811
500	7833	7802
501	7851	7789
502	7874	7780
503	7895	7770
504	7915	7759
505	7931	7742
506	7944	7725
507	7959	7708
508	7972	7690
509	7986	7673
510	7999	7655
511	8014	7638
512	8027	7620
513	8041	7603
514	8055	7586
515	8069	7569
516	8083	7551
517	8096	7533
518	8110	7516
519	8124	7499
520	8144	7488
521	8164	7476
522	8182	7462
523	8201	7449
524	8217	7435
525	8234	7420
526	8252	7406
527	8270	7393
528	8284	7376
529	8299	7359
530	8312	7341
531	8324	7323
532	8339	7306
533	8353	7289
534	8367	7272
535	8381	7255
536	8396	7239
537	8410	7222
538	8424	7205
539	8439	7188
540	8452	7171
541	8467	7155
542	8480	7137
543	8494	7120
544	8508	7103
545	8521	7086
546	8536	7069
547	8548	7050
548	8560	7032
549	8574	7015
550	8587	6998
551	8600	6979
552	8611	6961
553	8626	6944
554	8641	6928
555	8655	6911
556	8669	6895
557	8683	6878
558	8696	6860
559	8712	6845
560	8727	6829
561	8742	6813
562	8756	6796
563	8770	6780
564	8784	6763
565	8800	6748
566	8821	6736
567	8840	6723
568	8864	6714
569	8885	6702
570	8904	6689
571	8924	6677
572	8946	6666
573	8965	6654
574	8987	6642
575	9008	6630
576	9026	6617
577	9041	6601
578	9056	6584
579	9068	6566
580	9081	6549
581	9094	6531
582	9108	6514
583	9126	6501
584	9142	6485
585	9160	6471
586	9176	6456
587	9191	6440
588	9207	6425
589	9223	6409
590	9242	6395
591	9260	6382
592	9279	6368
593	9299	6356
594	9321	6344
595	9338	6330
596	9350	6311
597	9362	6293
598	9374	6275
599	9388	6259
600	9401	6241
601	9416	6225
602	9429	6208
603	9441	6190
604	9454	6173
605	9467	6155
606	9480	6138
607	9494	6121
608	9511	6106
609	9528	6092
610	9545	6077
611	9563	6063
612	9581	6049
613	9598	6034
614	9613	6018
615	9627	6001
616	9643	5985
617	9657	5969
618	9670	5952
619	9684	5935
620	9699	5919
621	9715	5904
622	9728	5887
623	9743	5870
624	9757	5854
625	9771	5837
626	9786	5822
627	9801	5805
628	9823	5793
629	9843	5780
